industry_name,industry_type,location,latitude,longitude,installed_capacity,capacity_unit,size_factor,pm10_profile,pm25_profile,so2_profile,nox_profile,raw_pm10,raw_pm25,raw_so2,raw_nox,pm10_weight,pm25_weight,so2_weight,nox_weight,confidence,source,source_type,coordinate_status,active_for_simulation,notes
M/s H.M. Cement Pvt. Ltd.,cement grinding unit,"Upper Baliyan, Umtru Road, Byrnihat",26.009156,91.812765,,not available,0.5,5,3,2,3,2.5,1.5,1.0,1.5,5.0,3.0,2.857,3.0,medium-high,NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,Priority source; exact installed capacity not available in the extracted PDFs.
M/s Shyam Century Ferrous Limited,ferro alloy,"EPIP, Byrnihat",26.051755,91.869578,15000.0,MT/year,0.2308,5,5,3,5,1.154,1.154,0.6924,1.154,2.308,2.308,1.978,2.308,medium-high,Meghalaya EPIP list; NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,NEERI table also mentions captive power plant status separately; this row uses ferro-alloy source role.
Maithan Alloys Ltd,ferro alloy,"EPIP, Byrnihat",26.0214,91.845591,28800.0,MT/year,0.4431,5,5,3,5,2.2155,2.2155,1.3293,2.2155,4.431,4.431,3.798,4.431,high,Meghalaya EPIP list; NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,Listed as Maithan Smelters/Alloys in source documents.
Nalari Ferro Alloys Pvt. Ltd.,ferro alloy,"EPIP, Byrnihat",26.074555,91.873931,5600.0,MT/year,0.0862,5,5,3,5,0.431,0.431,0.2586,0.431,0.862,0.862,0.739,0.862,high,Meghalaya EPIP list; NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,Established EPIP ferro-alloy unit.
M/s Pioneer Carbide (P) Ltd.,ferro alloy / carbide,"Upper Balian, Umtru Road, Byrnihat",26.03423,91.846605,,not available,0.5,5,5,3,5,2.5,2.5,1.5,2.5,5.0,5.0,4.286,5.0,medium-high,NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,Capacity not available in extracted data; medium size factor used for first simulation.
Meghalaya Steel Ltd.,M.S. ingots / re-rolling / ferro alloy,"EPIP, Byrnihat",26.024474,91.839043,65000.0,MT/year,1.0,5,5,3,5,5.0,5.0,3.0,5.0,10.0,10.0,8.571,10.0,medium,Meghalaya EPIP list; NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,NEERI report marks this unit not operational in Table 3.2; user found coordinate. Keep but verify operational status later.
Khasi Alloys,ferro alloy,"EPIP, Byrnihat",26.022676,91.846746,,not available,0.4,5,5,3,5,2.0,2.0,1.2,2.0,4.0,4.0,3.429,4.0,medium,Meghalaya EPIP list; NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,Capacity not available in extracted data; listed as Khasi Alloy Ltd in EPIP units under implementation.
M/s Pawan Castings Meghalaya (Pvt) Ltd.,M.S. ingot / M.S. rolled unit,"Harlibagan, Byrnihat",26.03715,91.86218,,not available,0.5,4,4,2,4,2.0,2.0,1.0,2.0,4.0,4.0,2.857,4.0,medium-high,NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,Capacity not available in extracted data; medium size factor used.
M/s Jaintia Ferro Alloys Pvt. Ltd.,mild steel ingots / ferro alloy,"13th Mile, Tamulkuchi, Byrnihat",26.073742,91.872576,,not available,0.5,4,4,2,4,2.0,2.0,1.0,2.0,4.0,4.0,2.857,4.0,medium-high,NEERI/MSPCB report Table 3.2; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,Capacity not available in extracted data; medium size factor used.
Nezones Industries Ltd.,G.I. pipes,"EPIP, Byrnihat",26.027641,91.8467,25000.0,MT/year,0.3846,4,4,2,4,1.5384,1.5384,0.7692,1.5384,3.077,3.077,2.198,3.077,high,Meghalaya EPIP list; coordinate manually verified by user from Google Maps,individual_industry,verified_from_google_maps,yes,Established EPIP unit.
